FDIProj,Year,Source_country,Destination_country,Amount,Sector,Project_type,Ownership_final,Precision_final,Ancmtyear,Opyear_final,xcoord,ycoord
301330,2018,China,Democratic Republic of Congo,102.3,Metals,New,POE,3,,U,25.50889,-10.72753
301610,2018,China,Nigeria,8.4,Communications,New,POE,1,U,2018,3.48056,6.44756
301784,2018,China,Egypt,45.9,Automotive OEM,New,LS,7,,U,-77.40749,43.06423
302016,2017,Hong Kong,Namibia,6.5,Minerals,New,POE,3,,2017,17.06575,-22.56088
304027,2017,China,South Africa,186.2,Renewable energy,New,CS,2,2009,2017,24.08381,-30.71669
304151,2018,China,Morocco,14.3,Business services,New,CS,1,2018,2018,-8.48806,33.22731
304152,2018,China,Zambia,6.8,Business services,New,CS,1,2018,2018,28.32969,-15.38794
304610,2018,China,Gabon,15.8,Wood products,New,POE,3,,2018,11.72676,1.77692
304640,2018,China,Zambia,26.3,Food & tobacco,New,POE,3,,U,29.04236,-15.8923
304941,2018,China,Ethiopia,1.96,Textiles,New,PS,9,2018,2018,38.88294,8.81706
305019,2018,China,Mali,54.02,Pharmaceuticals,New,POE,3,,2015,-7.94022,12.3992
305325,2018,China,Kenya,94.3,Real estate,New,PS,3,,C-2018,39.7374,-3.98943
305817,2018,China,Zimbabwe,178.9,Metals,New,CS,1,2018,U,29.83356,-18.91256
305818,2018,China,Zimbabwe,558,"Coal, oil & gas",New,CS,1,2018,U,29.83356,-18.91256
305851,2018,Hong Kong,Democratic Republic of Congo,53,Metals,New,POE,7,,U,21.75866,-4.03833
305853,2018,Hong Kong,Ghana,53,Metals,New,POE,7,,U,-1.02319,7.94653
306000,2018,China,Morocco,23.5,Electronic components,New,POE,3,,U,-5.66531,35.65769
306010,2018,China,Guinea,1160,Metals,New,POE,3,,U,-13.08331,11.13331
306492,2018,Hong Kong,Uganda,11,Financial services,New,POE,7,,2018,32.29028,1.37333
307836,2018,China,Ethiopia,13.92,Metals,New,POE,3,,U,39.533,9.67666
307857,2018,China,Guinea,580,Metals,New,POE,7,,U,-9.69665,9.94559
307858,2018,China,Guinea,580,"Coal, oil & gas",New,POE,7,,U,-9.69665,9.94559
307860,2018,China,Guinea,580,Metals,New,POE,7,,U,-9.69665,9.94559
307961,2018,China,Nigeria,94.5,Automotive OEM,New,POE,3,,U,7.01759,6.01229
309420,2018,China,Liberia,55.6,Consumer products,New,POE,7,,U,-9.4295,6.42805
309826,2018,China,South Africa,55.4,Communications,New,POE,3,,C-2018,28.24115,-26.13667
310026,2018,China,Nigeria,3000,"Coal, oil & gas",Expansion,CS,7,,U,8.67528,9.082
310262,2018,Hong Kong,Morocco,203.508,Metals,New,CS,9,2018,2019,-6.37756,34.30594
310263,2018,Hong Kong,Morocco,203.508,Metals,New,CS,9,2018,U,-5.81319,35.75594
310272,2018,China,South Africa,7.5,Communications,New,CS,1,2017,2018,28.05931,-26.04894
310759,2018,Hong Kong,Egypt,9.4,Communications,New,POE,9,2018,U,29.69646,30.93241
311508,2018,China,Egypt,100,Metals,New,CS,7,,U,-77.40749,43.06423
311533,2018,China,South Africa,14,Electronic components,New,POE,9,2016,2018,27.85344,-33.04844
313026,2018,China,Tunisia,94.5,Automotive OEM,New,PS,7,,U,9.5375,33.88692
313190,2018,China,Tunisia,94.5,Automotive OEM,New,PS,7,,U,9.5375,33.88692
313250,2018,China,Ghana,94.5,Automotive OEM,New,PS,7,,U,-1.02319,7.94653
313253,2018,China,Egypt,830,Real estate,New,POE,9,2018,U,32.28081,29.63726
313258,2018,China,Egypt,125,Building materials,New,CS,9,2018,C-2018,32.30456,29.71344
313259,2018,China,Egypt,50,Textiles,New,POE,9,2018,U,32.30456,29.71344
313359,2018,China,Gabon,209,Renewable energy,New,POE,3,,U,11.55038,0.78229
313367,2018,China,Ghana,25.5,Business machines & equipment,New,PS,7,,U,-1.02319,7.94653
